Prompt,IsFood,Cuisine Type,Cuisine Region,Dish Name
Can you make my Butter Naan extra buttery?,Yes,Indian,South India,Butter Naan
I want to enjoy the flavors of Butter Naan. Please bring me a serving.,Yes,Indian,South India,Butter Naan
I'm in the mood for some Butter Naan. Please bring me a plate.,Yes,Indian,South India,Butter Naan
Please prepare my Butter Naan with a sprinkle of garlic on top.,Yes,Indian,South India,Butter Naan
"Can you make my Butter Naan extra soft and fluffy, please?",Yes,Indian,South India,Butter Naan
I'm a fan of rich flavors. Can you brush some ghee on my Butter Naan?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a generous amount of melted butter on top.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a touch of nigella seeds?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan as traditionally as possible.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a blend of whole wheat and all-purpose flour?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a sprinkle of sesame seeds on top.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a drizzle of yogurt-based sauce?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a hint of cumin seeds.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a touch of black pepper for a savory kick?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a squeeze of lemon for a tangy taste.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a sprinkle of chopped cilantro on top?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of mint chutney.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of mixed pickle?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of plain yogurt.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of mango chutney?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of masala chai.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of garlic butter?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of tamarind chutney.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of raita?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of onion slices.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of roasted papadums?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of tomato-onion salad.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of pickled onions?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of coriander chutney.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of chili sauce?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of mint yogurt dip.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of lemon wedges?,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of green chilies.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of curry leaves.,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of turmeric yogurt dip.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of ginger-garlic paste.,Yes,Indian,South India,Butter Naan
Please make my Butter Naan with a side of roasted cumin powder.,Yes,Indian,South India,Butter Naan
Can you make my Butter Naan with a side of chili flakes.,Yes,Indian,South India,Butter Naan
"Can I have a Dum Biryani, please?",Yes,General,General,Dum Biryani
"I'd like to order a Dum Biryani, please.",Yes,General,General,Dum Biryani
"May I have a serving of Dum Biryani, please?",Yes,General,General,Dum Biryani
Can you bring me some Dum Biryani?,Yes,General,General,Dum Biryani
I'm craving Dum Biryani. Can you please bring me one?,Yes,General,General,Dum Biryani
I'd love to try your Dum Biryani. Please bring me a serving.,Yes,General,General,Dum Biryani
"One order of Dum Biryani, please.",Yes,General,General,Dum Biryani
Can you make my Dum Biryani extra flavorful?,Yes,General,General,Dum Biryani
I want to savor the authentic flavors of Dum Biryani. Please bring me a serving.,Yes,General,General,Dum Biryani
I'm in the mood for some Dum Biryani. Please bring me a plate.,Yes,General,General,Dum Biryani
Please prepare my Dum Biryani with a mix of chicken and basmati rice.,Yes,General,General,Dum Biryani
"Can you make my Dum Biryani extra spicy, please?",Yes,General,General,Dum Biryani
I'd like to order Dum Biryani with a side of raita.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a blend of aromatic spices?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with succulent pieces of lamb.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a touch of saffron for a vibrant color?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a generous serving of fried onions on top.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a mix of fragrant basmati rice and tender shrimp?,Yes,General,General,Dum Biryani
I have dietary restrictions. Can you prepare a vegetarian version of Dum Biryani?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a side of mirchi ka salan.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a blend of whole spices for an aromatic experience?,Yes,General,General,Dum Biryani
"Please make my Dum Biryani with a balance of flavors, not too spicy but with a hint of heat.",Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of mint chutney?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with succulent pieces of boneless chicken.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a mix of basmati rice and tender pieces of goat meat?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a touch of ghee for added richness.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of onion raita?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a medley of vegetables for a vegetarian delight.,Yes,General,General,Dum Biryani
"Can you make my Dum Biryani with a balance of flavors, not too spicy but with a touch of tanginess?",Yes,General,General,Dum Biryani
Please make my Dum Biryani with a side of cucumber slices and lemon wedges.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a mix of fragrant basmati rice and tender chunks of mutton?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a touch of rose water for a subtle floral essence.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of chicken tikka?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a blend of aromatic spices and juicy pieces of fish.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of mirchi ka salan and a dollop of yogurt?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a mix of basmati rice and flavorful prawns.,Yes,General,General,Dum Biryani
"Can you make my Dum Biryani with a balance of flavors, not too spicy but with a touch of sweetness?",Yes,General,General,Dum Biryani
Please make my Dum Biryani with a side of mint yogurt dip.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with fragrant basmati rice and tender pieces of chicken?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a mix of aromatic spices and succulent lamb.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of cooling cucumber raita?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with flavorful basmati rice and spicy marinated prawns.,Yes,General,General,Dum Biryani
"Can you make my Dum Biryani with a balance of flavors, not too spicy but with a hint of smokiness?",Yes,General,General,Dum Biryani
Please make my Dum Biryani with a side of tangy tomato chutney.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with fragrant basmati rice and tender pieces of paneer?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with a mix of aromatic spices and succulent chunks of fish.,Yes,General,General,Dum Biryani
Can you make my Dum Biryani with a side of refreshing mint and coriander chutney?,Yes,General,General,Dum Biryani
Please make my Dum Biryani with flavorful basmati rice and a combination of vegetables.,Yes,General,General,Dum Biryani
"Can you make my Dum Biryani with a balance of flavors, not too spicy but with a touch of earthiness?",Yes,General,General,Dum Biryani
"Can I have a plate of Pani Puri, please?",Yes,Indian,South India,Pani Puri
"I'd like to order Pani Puri, please.",Yes,Indian,South India,Pani Puri
"May I have a serving of Pani Puri, please?",Yes,Indian,South India,Pani Puri
Can you bring me some Pani Puri?,Yes,Indian,South India,Pani Puri
I'm craving Pani Puri. Can you please bring me a plate?,Yes,Indian,South India,Pani Puri
I'd love to try your Pani Puri. Please bring me a serving.,Yes,Indian,South India,Pani Puri
"One order of Pani Puri, please.",Yes,Indian,South India,Pani Puri
"Can you make my Pani Puri extra spicy, please?",Yes,Indian,South India,Pani Puri
I want to enjoy the authentic flavors of Pani Puri. Please bring me a plate.,Yes,Indian,South India,Pani Puri
I'm in the mood for some Pani Puri. Please bring me a plate.,Yes,Indian,South India,Pani Puri
Please prepare my Pani Puri with a mix of spicy and tangy pani.,Yes,Indian,South India,Pani Puri
"Can you make my Pani Puri extra crispy, please?",Yes,Indian,South India,Pani Puri
I'd like to order Pani Puri with extra tamarind chutney.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a generous amount of green chutney?,Yes,Indian,South India,Pani Puri
I want to savor the different flavors of Pani Puri. Please bring me a plate.,Yes,Indian,South India,Pani Puri
"Can I have a plate of Pani Puri without onions, please?",Yes,Indian,South India,Pani Puri
Please make my Pani Puri with a mix of spicy and sweet pani.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a side of boondi?,Yes,Indian,South India,Pani Puri
I have dietary restrictions. Can you prepare a gluten-free version of Pani Puri?,Yes,Indian,South India,Pani Puri
Please make my Pani Puri with a variety of flavored pani.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a side of chopped coriander and mint leaves?,Yes,Indian,South India,Pani Puri
"Please make my Pani Puri with a balance of flavors, not too spicy but with a hint of tanginess.",Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a generous filling of chickpeas and potatoes?,Yes,Indian,South India,Pani Puri
I'd like to order Pani Puri with a side of sweet tamarind water.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a mix of spicy and tangy pani?,Yes,Indian,South India,Pani Puri
Please make my Pani Puri with a side of crispy puris.,Yes,Indian,South India,Pani Puri
"Can you make my Pani Puri with a variety of flavored pani, including jaljeera and hing pani?",Yes,Indian,South India,Pani Puri
"Please make my Pani Puri with a balance of flavors, not too spicy but with a touch of sweetness.",Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a side of chopped onions and boondi?,Yes,Indian,South India,Pani Puri
I'd like to order Pani Puri with a side of spicy mint water.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a mix of spicy and tangy tamarind chutney?,Yes,Indian,South India,Pani Puri
Please make my Pani Puri with a side of crushed puris for added crunch.,Yes,Indian,South India,Pani Puri
"Can you make my Pani Puri with a variety of flavored pani, including mint and mango?",Yes,Indian,South India,Pani Puri
"Please make my Pani Puri with a balance of flavors, not too spicy but with a hint of mintiness.",Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a side of chopped coriander and sev?,Yes,Indian,South India,Pani Puri
I'd like to order Pani Puri with a side of spicy imli (tamarind) water.,Yes,Indian,South India,Pani Puri
Can you make my Pani Puri with a mix of spicy and tangy chutneys?,Yes,Indian,South India,Pani Puri
Please make my Pani Puri with a side of sprouts for added texture.,Yes,Indian,South India,Pani Puri
"Can I have a salad, please?",Yes,Indian,General,Salad
"I'd like to order a salad, please.",Yes,Indian,General,Salad
"May I have a serving of salad, please?",Yes,Indian,General,Salad
Can you bring me a salad?,Yes,Indian,General,Salad
I'm in the mood for a refreshing salad. Can you please bring me one?,Yes,Indian,General,Salad
I'd love to try your salad. Please bring me a serving.,Yes,Indian,General,Salad
"One order of salad, please.",Yes,Indian,General,Salad
"Can you make my salad with mixed greens, please?",Yes,Indian,General,Salad
I want to enjoy a healthy salad. Please bring me a plate.,Yes,Indian,General,Salad
I'm looking for a light option. Can you please bring me a salad?,Yes,Indian,General,Salad
Please prepare my salad with a variety of fresh vegetables.,Yes,Indian,General,Salad
"Can you make my salad with a side of balsamic vinaigrette dressing, please?",Yes,Indian,General,Salad
I'd like to order a salad with extra avocado.,Yes,Indian,General,Salad
Can you make my salad with a generous amount of feta cheese?,Yes,Indian,General,Salad
I want to savor the flavors of a well-balanced salad. Please bring me one.,Yes,Indian,General,Salad
"Can I have a salad without croutons, please?",Yes,Indian,General,Salad
Please make my salad with a mix of greens and colorful vegetables.,Yes,Indian,General,Salad
Can you make my salad with a side of grilled chicken?,Yes,Indian,General,Salad
I have dietary restrictions. Can you prepare a gluten-free version of the salad?,Yes,Indian,General,Salad
Please make my salad with a variety of fresh herbs.,Yes,Indian,General,Salad
Can you make my salad with a side of roasted nuts for added crunch?,Yes,Indian,General,Salad
Please make my salad with a light and tangy lemon dressing.,Yes,Indian,General,Salad
Can you make my salad with a generous serving of grilled shrimp?,Yes,Indian,General,Salad
I'd like to order a salad with a side of creamy ranch dressing.,Yes,Indian,General,Salad
Can you make my salad with a mix of leafy greens and cherry tomatoes?,Yes,Indian,General,Salad
Please make my salad with a side of sliced almonds for added texture.,Yes,Indian,General,Salad
Can you make my salad with a variety of colorful bell peppers?,Yes,Indian,General,Salad
Please make my salad with a light and zesty vinaigrette dressing.,Yes,Indian,General,Salad
Can you make my salad with a side of grilled salmon?,Yes,Indian,General,Salad
I'd like to order a salad with a side of tangy Caesar dressing.,Yes,Indian,General,Salad
Can you make my salad with a mix of fresh fruits and baby spinach?,Yes,Indian,General,Salad
Please make my salad with a side of crumbled goat cheese.,Yes,Indian,General,Salad
Can you make my salad with a variety of roasted vegetables?,Yes,Indian,General,Salad
Please make my salad with a light and refreshing cucumber-dill dressing.,Yes,Indian,General,Salad
Can you make my salad with a side of grilled tofu?,Yes,Indian,General,Salad
I'd like to order a salad with a side of tangy blue cheese dressing.,Yes,Indian,General,Salad
Can you make my salad with a mix of quinoa and roasted vegetables?,Yes,Indian,General,Salad
Please make my salad with a side of sliced strawberries for a touch of sweetness.,Yes,Indian,General,Salad
Can you make my salad with a variety of marinated olives?,Yes,Indian,General,Salad
Please make my salad with a light and creamy avocado-lime dressing.,Yes,Indian,General,Salad
Can you make my salad with a side of grilled steak?,Yes,Indian,General,Salad
I'd like to order a salad with a side of zesty chipotle dressing.,Yes,Indian,General,Salad
Can you make my salad with a mix of arugula and shaved Parmesan cheese?,Yes,Indian,General,Salad
Please make my salad with a side of toasted walnuts for added crunch.,Yes,Indian,General,Salad
Can you make my salad with a variety of grilled vegetables?,Yes,Indian,General,Salad
Please make my salad with a light and tangy ginger-soy dressing.,Yes,Indian,General,Salad
Can you make my salad with a side of grilled portobello mushrooms?,Yes,Indian,General,Salad
"Can I have a pizza, please?",Yes,General,General ,Pizza
"I'd like to order a pizza, please.",Yes,General,General ,Pizza
"May I have a pizza, please?",Yes,General,General ,Pizza
Can you bring me a pizza?,Yes,General,General ,Pizza
I'm in the mood for pizza. Can you please bring me one?,Yes,General,General ,Pizza
I'd love to try your pizza. Please bring me a pie.,Yes,General,General ,Pizza
"One order of pizza, please.",Yes,General,General ,Pizza
"Can you make my pizza with a thin crust, please?",Yes,General,General ,Pizza
I want to enjoy a classic pizza. Please bring me one.,Yes,General,General ,Pizza
I'm craving pizza. Can you please bring me a fresh one?,Yes,General,General ,Pizza
Please prepare my pizza with a variety of toppings.,Yes,General,General ,Pizza
"Can you make my pizza with extra cheese, please?",Yes,General,General ,Pizza
I'd like to order a pizza with pepperoni.,Yes,General,General ,Pizza
Can you make my pizza with a generous amount of mushrooms?,Yes,General,General ,Pizza
I want to savor the flavors of a well-made pizza. Please bring me one.,Yes,General,General ,Pizza
"Can I have a pizza without onions, please?",Yes,General,General ,Pizza
Please make my pizza with a combination of meats and vegetables.,Yes,General,General ,Pizza
Can you make my pizza with a side of garlic dipping sauce?,Yes,General,General ,Pizza
I have dietary restrictions. Can you prepare a gluten-free pizza?,Yes,General,General ,Pizza
Please make my pizza with a variety of fresh herbs and spices.,Yes,General,General ,Pizza
Can you make my pizza with a side of spicy jalapenos?,Yes,General,General ,Pizza
Please make my pizza with a thin and crispy crust.,Yes,General,General ,Pizza
Can you make my pizza with a generous serving of Italian sausage?,Yes,General,General ,Pizza
I'd like to order a pizza with a side of tangy marinara sauce.,Yes,General,General ,Pizza
"Can you make my pizza with a mix of cheeses, including mozzarella and cheddar?",Yes,General,General ,Pizza
Please make my pizza with a variety of colorful bell peppers.,Yes,General,General ,Pizza
Can you make my pizza with a side of pepperoncini for a spicy kick?,Yes,General,General ,Pizza
Please make my pizza with a light and tangy tomato sauce.,Yes,General,General ,Pizza
Can you make my pizza with a generous serving of fresh basil leaves?,Yes,General,General ,Pizza
I'd like to order a pizza with a side of creamy ranch dipping sauce.,Yes,General,General ,Pizza
"Can you make my pizza with a mix of classic toppings, like olives and pepperoni?",Yes,General,General ,Pizza
Please make my pizza with a side of grated Parmesan cheese.,Yes,General,General ,Pizza
Can you make my pizza with a variety of roasted vegetables?,Yes,General,General ,Pizza
Please make my pizza with a light and refreshing pesto sauce.,Yes,General,General ,Pizza
Can you make my pizza with a side of grilled chicken?,Yes,General,General ,Pizza
I'd like to order a pizza with a side of tangy barbecue sauce.,Yes,General,General ,Pizza
Can you make my pizza with a mix of fresh tomatoes and basil?,Yes,General,General ,Pizza
Please make my pizza with a side of spicy crushed red pepper flakes.,Yes,General,General ,Pizza
"Can you make my pizza with a variety of cured meats, like prosciutto and salami?",Yes,General,General ,Pizza
Please make my pizza with a light and creamy garlic sauce.,Yes,General,General ,Pizza
Can you make my pizza with a side of grilled vegetables?,Yes,General,General ,Pizza
I'd like to order a pizza with a side of tangy buffalo sauce.,Yes,General,General ,Pizza
"Can you make my pizza with a mix of gourmet toppings, like arugula and truffle oil?",Yes,General,General ,Pizza
Please make my pizza with a side of crispy bacon.,Yes,General,General ,Pizza
"Can you make my pizza with a variety of fresh seafood, like shrimp and calamari?",Yes,General,General ,Pizza
Please make my pizza with a light and tangy balsamic glaze.,Yes,General,General ,Pizza
Can you make my pizza with a side of sliced jalapenos for an extra spicy kick?,Yes,General,General ,Pizza
I'd like to order a pizza with a side of tangy honey mustard dipping sauce.,Yes,General,General ,Pizza
"Can I have some bread, please?",Yes,Indian,General,Bread
"I'd like to order bread, please.",Yes,Indian,General,Bread
"May I have a serving of bread, please?",Yes,Indian,General,Bread
Can you bring me some bread?,Yes,Indian,General,Bread
I'm in the mood for bread. Can you please bring me a loaf?,Yes,Indian,General,Bread
I'd love to try your bread. Please bring me a serving.,Yes,Indian,General,Bread
"One order of bread, please.",Yes,Indian,General,Bread
"Can you make my bread with a crusty exterior, please?",Yes,Indian,General,Bread
I want to enjoy fresh bread. Please bring me a warm loaf.,Yes,Indian,General,Bread
I'm craving bread. Can you please bring me a variety?,Yes,Indian,General,Bread
Please prepare my bread with a mix of whole grains.,Yes,Indian,General,Bread
"Can you make my bread with a side of butter, please?",Yes,Indian,General,Bread
I'd like to order bread with a sprinkle of herbs on top.,Yes,Indian,General,Bread
Can you make my bread with a generous amount of garlic?,Yes,Indian,General,Bread
I want to savor the flavors of a well-baked bread. Please bring me one.,Yes,Indian,General,Bread
"Can I have bread without seeds, please?",Yes,Indian,General,Bread
"Please make my bread with a combination of different types, like sourdough and multigrain.",Yes,Indian,General,Bread
Can you make my bread with a side of olive oil for dipping?,Yes,Indian,General,Bread
I have dietary restrictions. Can you prepare gluten-free bread?,Yes,Indian,General,Bread
"Please make my bread with a variety of seeds, such as flax and sunflower.",Yes,Indian,General,Bread
Can you make my bread with a side of tangy hummus?,Yes,Indian,General,Bread
Please make my bread with a soft and fluffy texture.,Yes,Indian,General,Bread
Can you make my bread with a generous serving of melted cheese?,Yes,Indian,General,Bread
I'd like to order bread with a side of tangy tomato sauce.,Yes,Indian,General,Bread
Can you make my bread with a mix of herbs and spices in the dough?,Yes,Indian,General,Bread
"Please make my bread with a variety of nuts, like walnuts and almonds.",Yes,Indian,General,Bread
Can you make my bread with a side of tangy mustard for dipping?,Yes,Indian,General,Bread
Please make my bread with a light and airy interior.,Yes,Indian,General,Bread
Can you make my bread with a side of sliced avocado?,Yes,Indian,General,Bread
I'd like to order bread with a side of sweet honey.,Yes,Indian,General,Bread
"Can you make my bread with a mix of dried fruits, like raisins and cranberries?",Yes,Indian,General,Bread
Please make my bread with a side of creamy goat cheese.,Yes,Indian,General,Bread
"Can you make my bread with a variety of aromatic herbs, like rosemary and thyme?",Yes,Indian,General,Bread
Please make my bread with a light and tangy balsamic reduction.,Yes,Indian,General,Bread
Can you make my bread with a side of melted butter?,Yes,Indian,General,Bread
I'd like to order bread with a side of tangy tzatziki sauce.,Yes,Indian,General,Bread
Can you make my bread with a mix of whole wheat and rye flour?,Yes,Indian,General,Bread
Please make my bread with a side of sliced tomatoes for a fresh touch.,Yes,Indian,General,Bread
"Can you make my bread with a variety of savory spices, like cumin and paprika?",Yes,Indian,General,Bread
Please make my bread with a light and creamy garlic spread.,Yes,Indian,General,Bread
Can you make my bread with a side of whipped cream cheese?,Yes,Indian,General,Bread
I'd like to order bread with a side of tangy salsa.,Yes,Indian,General,Bread
Can you make my bread with a mix of caramelized onions and Gruyere cheese?,Yes,Indian,General,Bread
"Please make my bread with a side of sliced cured meats, like prosciutto and salami.",Yes,Indian,General,Bread
Can you make my bread with a variety of roasted vegetables?,Yes,Indian,General,Bread
Please make my bread with a light and tangy lemon zest glaze.,Yes,Indian,General,Bread
Can you make my bread with a side of sliced smoked salmon?,Yes,Indian,General,Bread
"Can I have a burger, please?",Yes,Indian,General,Burger
"I'd like to order a burger, please.",Yes,Indian,General,Burger
"May I have a burger, please?",Yes,Indian,General,Burger
Can you bring me a burger?,Yes,Indian,General,Burger
I'm in the mood for a juicy burger. Can you please bring me one?,Yes,Indian,General,Burger
I'd love to try your burger. Please bring me one.,Yes,Indian,General,Burger
"One order of burger, please.",Yes,Indian,General,Burger
"Can you make my burger with a medium-rare patty, please?",Yes,Indian,General,Burger
I want to enjoy a classic burger. Please bring me one.,Yes,Indian,General,Burger
I'm craving a burger. Can you please bring me a delicious one?,Yes,Indian,General,Burger
Please prepare my burger with a variety of toppings.,Yes,Indian,General,Burger
"Can you make my burger with extra cheese, please?",Yes,Indian,General,Burger
I'd like to order a burger with bacon.,Yes,Indian,General,Burger
Can you make my burger with a generous amount of caramelized onions?,Yes,Indian,General,Burger
I want to savor the flavors of a well-grilled burger. Please bring me one.,Yes,Indian,General,Burger
"Can I have a burger without pickles, please?",Yes,Indian,General,Burger
Please make my burger with a combination of meats and vegetables.,Yes,Indian,General,Burger
Can you make my burger with a side of barbecue sauce?,Yes,Indian,General,Burger
I have dietary restrictions. Can you prepare a gluten-free burger?,Yes,Indian,General,Burger
"Please make my burger with a variety of fresh toppings, like lettuce and tomatoes.",Yes,Indian,General,Burger
Can you make my burger with a side of crispy onion rings?,Yes,Indian,General,Burger
Please make my burger with a toasted bun.,Yes,Indian,General,Burger
Can you make my burger with a generous serving of avocado slices?,Yes,Indian,General,Burger
I'd like to order a burger with a side of tangy ketchup.,Yes,Indian,General,Burger
"Can you make my burger with a mix of cheeses, like cheddar and Swiss?",Yes,Indian,General,Burger
Please make my burger with a variety of grilled vegetables.,Yes,Indian,General,Burger
Can you make my burger with a side of spicy jalapenos?,Yes,Indian,General,Burger
Please make my burger with a juicy and well-seasoned patty.,Yes,Indian,General,Burger
Can you make my burger with a side of sweet potato fries?,Yes,Indian,General,Burger
I'd like to order a burger with a side of tangy mustard.,Yes,Indian,General,Burger
"Can you make my burger with a mix of classic toppings, like lettuce, tomatoes, and onions?",Yes,Indian,General,Burger
Please make my burger with a side of melted cheese.,Yes,Indian,General,Burger
Can you make my burger with a variety of sautéed mushrooms?,Yes,Indian,General,Burger
Please make my burger with a light and tangy mayo spread.,Yes,Indian,General,Burger
Can you make my burger with a side of crispy bacon?,Yes,Indian,General,Burger
I'd like to order a burger with a side of spicy chipotle sauce.,Yes,Indian,General,Burger
Can you make my burger with a mix of caramelized onions and blue cheese?,Yes,Indian,General,Burger
Please make my burger with a side of tangy BBQ sauce.,Yes,Indian,General,Burger
"Can you make my burger with a variety of pickles, like dill and bread and butter?",Yes,Indian,General,Burger
Please make my burger with a light and creamy garlic aioli.,Yes,Indian,General,Burger
Can you make my burger with a side of sliced avocado and sprouts?,Yes,Indian,General,Burger
I'd like to order a burger with a side of tangy sriracha mayo.,Yes,Indian,General,Burger
Can you make my burger with a mix of crispy lettuce and juicy tomatoes?,Yes,Indian,General,Burger
Please make my burger with a side of melted provolone cheese.,Yes,Indian,General,Burger
Can you make my burger with a variety of grilled peppers and onions?,Yes,Indian,General,Burger
Please make my burger with a light and tangy honey mustard dressing.,Yes,Indian,General,Burger
Can you make my burger with a side of crispy onion strings?,Yes,Indian,General,Burger
I'd like to order a burger with a side of tangy ranch dressing.,Yes,Indian,General,Burger
"Can I have a sandwich, please?",Yes,Indian,General,Sandwich
"I'd like to order a sandwich, please.",Yes,Indian,General,Sandwich
"May I have a sandwich, please?",Yes,Indian,General,Sandwich
Can you bring me a sandwich?,Yes,Indian,General,Sandwich
I'm in the mood for a delicious sandwich. Can you please bring me one?,Yes,Indian,General,Sandwich
I'd love to try your sandwich. Please bring me one.,Yes,Indian,General,Sandwich
"One order of sandwich, please.",Yes,Indian,General,Sandwich
"Can you make my sandwich with whole wheat bread, please?",Yes,Indian,General,Sandwich
I want to enjoy a classic sandwich. Please bring me one.,Yes,Indian,General,Sandwich
I'm craving a sandwich. Can you please bring me a tasty one?,Yes,Indian,General,Sandwich
Please prepare my sandwich with a variety of fillings.,Yes,Indian,General,Sandwich
"Can you make my sandwich with extra cheese, please?",Yes,Indian,General,Sandwich
I'd like to order a sandwich with turkey.,Yes,Indian,General,Sandwich
Can you make my sandwich with a generous amount of fresh vegetables?,Yes,Indian,General,Sandwich
I want to savor the flavors of a well-made sandwich. Please bring me one.,Yes,Indian,General,Sandwich
"Can I have a sandwich without onions, please?",Yes,Indian,General,Sandwich
Please make my sandwich with a combination of meats and cheeses.,Yes,Indian,General,Sandwich
Can you make my sandwich with a side of spicy mustard?,Yes,Indian,General,Sandwich
I have dietary restrictions. Can you prepare a gluten-free sandwich?,Yes,Indian,General,Sandwich
"Please make my sandwich with a variety of fresh toppings, like lettuce and tomatoes.",Yes,Indian,General,Sandwich
Can you make my sandwich with a side of crispy potato chips?,Yes,Indian,General,Sandwich
Please make my sandwich with toasted bread.,Yes,Indian,General,Sandwich
Can you make my sandwich with a generous serving of avocado slices?,Yes,Indian,General,Sandwich
I'd like to order a sandwich with a side of tangy mayonnaise.,Yes,Indian,General,Sandwich
"Can you make my sandwich with a mix of cheeses, like Swiss and provolone?",Yes,Indian,General,Sandwich
Please make my sandwich with a variety of grilled vegetables.,Yes,Indian,General,Sandwich
Can you make my sandwich with a side of spicy jalapenos?,Yes,Indian,General,Sandwich
Please make my sandwich with a juicy and tender chicken breast.,Yes,Indian,General,Sandwich
Can you make my sandwich with a side of sweet potato fries?,Yes,Indian,General,Sandwich
I'd like to order a sandwich with a side of tangy honey mustard.,Yes,Indian,General,Sandwich
"Can you make my sandwich with a mix of classic toppings, like lettuce, tomatoes, and pickles?",Yes,Indian,General,Sandwich
Please make my sandwich with a side of melted cheese.,Yes,Indian,General,Sandwich
Can you make my sandwich with a variety of sautéed mushrooms?,Yes,Indian,General,Sandwich
Please make my sandwich with a light and tangy vinaigrette.,Yes,Indian,General,Sandwich
Can you make my sandwich with a side of crispy bacon?,Yes,Indian,General,Sandwich
I'd like to order a sandwich with a side of spicy chipotle sauce.,Yes,Indian,General,Sandwich
Can you make my sandwich with a mix of caramelized onions and Swiss cheese?,Yes,Indian,General,Sandwich
Please make my sandwich with a side of tangy BBQ sauce.,Yes,Indian,General,Sandwich
"Can you make my sandwich with a variety of pickles, like dill and bread and butter?",Yes,Indian,General,Sandwich
Please make my sandwich with a light and creamy garlic aioli.,Yes,Indian,General,Sandwich
Can you make my sandwich with a side of sliced avocado and sprouts?,Yes,Indian,General,Sandwich
I'd like to order a sandwich with a side of tangy pesto mayo.,Yes,Indian,General,Sandwich
Can you make my sandwich with a mix of crispy lettuce and juicy tomatoes?,Yes,Indian,General,Sandwich
